meth,covariance,decl,fp,Freq,Method:,Decline,Covariance
l0,nocov23,mild,0,100,Bayesian Lasso,Mild~average~decline~(b[1]==-0.3),Independent~predictors~(k==23)
t0,nocov23,mild,0,48,Two-step procedure,Mild~average~decline~(b[1]==-0.3),Independent~predictors~(k==23)
l0,nocov7,mild,0,99,Bayesian Lasso,Mild~average~decline~(b[1]==-0.3),Independent~predictors~(k==7)
t0,nocov7,mild,0,78,Two-step procedure,Mild~average~decline~(b[1]==-0.3),Independent~predictors~(k==7)
l0,yocov23,mild,0,100,Bayesian Lasso,Mild~average~decline~(b[1]==-0.3),Covaried~predictors~(k==23)
t0,yocov23,mild,0,72,Two-step procedure,Mild~average~decline~(b[1]==-0.3),Covaried~predictors~(k==23)
l0,nocov23,moderate,0,100,Bayesian Lasso,Moderate~average~decline~(b[1]==-0.5),Independent~predictors~(k==23)
t0,nocov23,moderate,0,43,Two-step procedure,Moderate~average~decline~(b[1]==-0.5),Independent~predictors~(k==23)
l0,nocov7,moderate,0,98,Bayesian Lasso,Moderate~average~decline~(b[1]==-0.5),Independent~predictors~(k==7)
t0,nocov7,moderate,0,72,Two-step procedure,Moderate~average~decline~(b[1]==-0.5),Independent~predictors~(k==7)
l0,yocov23,moderate,0,100,Bayesian Lasso,Moderate~average~decline~(b[1]==-0.5),Covaried~predictors~(k==23)
t0,yocov23,moderate,0,58,Two-step procedure,Moderate~average~decline~(b[1]==-0.5),Covaried~predictors~(k==23)
l0,nocov23,none,0,100,Bayesian Lasso,No~average~decline~(b[1]==0.0),Independent~predictors~(k==23)
t0,nocov23,none,0,53,Two-step procedure,No~average~decline~(b[1]==0.0),Independent~predictors~(k==23)
l0,nocov7,none,0,99,Bayesian Lasso,No~average~decline~(b[1]==0.0),Independent~predictors~(k==7)
t0,nocov7,none,0,86,Two-step procedure,No~average~decline~(b[1]==0.0),Independent~predictors~(k==7)
l0,yocov23,none,0,100,Bayesian Lasso,No~average~decline~(b[1]==0.0),Covaried~predictors~(k==23)
t0,yocov23,none,0,78,Two-step procedure,No~average~decline~(b[1]==0.0),Covaried~predictors~(k==23)
l0,nocov23,mild,1,0,Bayesian Lasso,Mild~average~decline~(b[1]==-0.3),Independent~predictors~(k==23)
t0,nocov23,mild,1,35,Two-step procedure,Mild~average~decline~(b[1]==-0.3),Independent~predictors~(k==23)
l0,nocov7,mild,1,1,Bayesian Lasso,Mild~average~decline~(b[1]==-0.3),Independent~predictors~(k==7)
t0,nocov7,mild,1,17,Two-step procedure,Mild~average~decline~(b[1]==-0.3),Independent~predictors~(k==7)
l0,yocov23,mild,1,0,Bayesian Lasso,Mild~average~decline~(b[1]==-0.3),Covaried~predictors~(k==23)
t0,yocov23,mild,1,21,Two-step procedure,Mild~average~decline~(b[1]==-0.3),Covaried~predictors~(k==23)
l0,nocov23,moderate,1,0,Bayesian Lasso,Moderate~average~decline~(b[1]==-0.5),Independent~predictors~(k==23)
t0,nocov23,moderate,1,40,Two-step procedure,Moderate~average~decline~(b[1]==-0.5),Independent~predictors~(k==23)
l0,nocov7,moderate,1,2,Bayesian Lasso,Moderate~average~decline~(b[1]==-0.5),Independent~predictors~(k==7)
t0,nocov7,moderate,1,25,Two-step procedure,Moderate~average~decline~(b[1]==-0.5),Independent~predictors~(k==7)
l0,yocov23,moderate,1,0,Bayesian Lasso,Moderate~average~decline~(b[1]==-0.5),Covaried~predictors~(k==23)
t0,yocov23,moderate,1,33,Two-step procedure,Moderate~average~decline~(b[1]==-0.5),Covaried~predictors~(k==23)
l0,nocov23,none,1,0,Bayesian Lasso,No~average~decline~(b[1]==0.0),Independent~predictors~(k==23)
t0,nocov23,none,1,31,Two-step procedure,No~average~decline~(b[1]==0.0),Independent~predictors~(k==23)
l0,nocov7,none,1,1,Bayesian Lasso,No~average~decline~(b[1]==0.0),Independent~predictors~(k==7)
t0,nocov7,none,1,13,Two-step procedure,No~average~decline~(b[1]==0.0),Independent~predictors~(k==7)
l0,yocov23,none,1,0,Bayesian Lasso,No~average~decline~(b[1]==0.0),Covaried~predictors~(k==23)
t0,yocov23,none,1,19,Two-step procedure,No~average~decline~(b[1]==0.0),Covaried~predictors~(k==23)
l0,nocov23,mild,2,0,Bayesian Lasso,Mild~average~decline~(b[1]==-0.3),Independent~predictors~(k==23)
t0,nocov23,mild,2,16,Two-step procedure,Mild~average~decline~(b[1]==-0.3),Independent~predictors~(k==23)
l0,nocov7,mild,2,0,Bayesian Lasso,Mild~average~decline~(b[1]==-0.3),Independent~predictors~(k==7)
t0,nocov7,mild,2,5,Two-step procedure,Mild~average~decline~(b[1]==-0.3),Independent~predictors~(k==7)
l0,yocov23,mild,2,0,Bayesian Lasso,Mild~average~decline~(b[1]==-0.3),Covaried~predictors~(k==23)
t0,yocov23,mild,2,7,Two-step procedure,Mild~average~decline~(b[1]==-0.3),Covaried~predictors~(k==23)
l0,nocov23,moderate,2,0,Bayesian Lasso,Moderate~average~decline~(b[1]==-0.5),Independent~predictors~(k==23)
t0,nocov23,moderate,2,13,Two-step procedure,Moderate~average~decline~(b[1]==-0.5),Independent~predictors~(k==23)
l0,nocov7,moderate,2,0,Bayesian Lasso,Moderate~average~decline~(b[1]==-0.5),Independent~predictors~(k==7)
t0,nocov7,moderate,2,3,Two-step procedure,Moderate~average~decline~(b[1]==-0.5),Independent~predictors~(k==7)
l0,yocov23,moderate,2,0,Bayesian Lasso,Moderate~average~decline~(b[1]==-0.5),Covaried~predictors~(k==23)
t0,yocov23,moderate,2,8,Two-step procedure,Moderate~average~decline~(b[1]==-0.5),Covaried~predictors~(k==23)
l0,nocov23,none,2,0,Bayesian Lasso,No~average~decline~(b[1]==0.0),Independent~predictors~(k==23)
t0,nocov23,none,2,15,Two-step procedure,No~average~decline~(b[1]==0.0),Independent~predictors~(k==23)
l0,nocov7,none,2,0,Bayesian Lasso,No~average~decline~(b[1]==0.0),Independent~predictors~(k==7)
t0,nocov7,none,2,1,Two-step procedure,No~average~decline~(b[1]==0.0),Independent~predictors~(k==7)
l0,yocov23,none,2,0,Bayesian Lasso,No~average~decline~(b[1]==0.0),Covaried~predictors~(k==23)
t0,yocov23,none,2,2,Two-step procedure,No~average~decline~(b[1]==0.0),Covaried~predictors~(k==23)
l0,nocov23,mild,3,0,Bayesian Lasso,Mild~average~decline~(b[1]==-0.3),Independent~predictors~(k==23)
t0,nocov23,mild,3,1,Two-step procedure,Mild~average~decline~(b[1]==-0.3),Independent~predictors~(k==23)
l0,nocov7,mild,3,0,Bayesian Lasso,Mild~average~decline~(b[1]==-0.3),Independent~predictors~(k==7)
t0,nocov7,mild,3,0,Two-step procedure,Mild~average~decline~(b[1]==-0.3),Independent~predictors~(k==7)
l0,yocov23,mild,3,0,Bayesian Lasso,Mild~average~decline~(b[1]==-0.3),Covaried~predictors~(k==23)
t0,yocov23,mild,3,0,Two-step procedure,Mild~average~decline~(b[1]==-0.3),Covaried~predictors~(k==23)
l0,nocov23,moderate,3,0,Bayesian Lasso,Moderate~average~decline~(b[1]==-0.5),Independent~predictors~(k==23)
t0,nocov23,moderate,3,4,Two-step procedure,Moderate~average~decline~(b[1]==-0.5),Independent~predictors~(k==23)
l0,nocov7,moderate,3,0,Bayesian Lasso,Moderate~average~decline~(b[1]==-0.5),Independent~predictors~(k==7)
t0,nocov7,moderate,3,0,Two-step procedure,Moderate~average~decline~(b[1]==-0.5),Independent~predictors~(k==7)
l0,yocov23,moderate,3,0,Bayesian Lasso,Moderate~average~decline~(b[1]==-0.5),Covaried~predictors~(k==23)
t0,yocov23,moderate,3,1,Two-step procedure,Moderate~average~decline~(b[1]==-0.5),Covaried~predictors~(k==23)
l0,nocov23,none,3,0,Bayesian Lasso,No~average~decline~(b[1]==0.0),Independent~predictors~(k==23)
t0,nocov23,none,3,1,Two-step procedure,No~average~decline~(b[1]==0.0),Independent~predictors~(k==23)
l0,nocov7,none,3,0,Bayesian Lasso,No~average~decline~(b[1]==0.0),Independent~predictors~(k==7)
t0,nocov7,none,3,0,Two-step procedure,No~average~decline~(b[1]==0.0),Independent~predictors~(k==7)
l0,yocov23,none,3,0,Bayesian Lasso,No~average~decline~(b[1]==0.0),Covaried~predictors~(k==23)
t0,yocov23,none,3,1,Two-step procedure,No~average~decline~(b[1]==0.0),Covaried~predictors~(k==23)
